Tijd;Dienst;Type bak;Categorie;Netto gewicht;Bruto gewicht;Lijn;Opmerkingen;
2011-10-24 07:03:30;Dag;Rode bak;Opstarten van de oven;36,0 Kg;69,0 Kg;Lijn 5;;
2011-10-24 07:03:50;Dag;Rode bak;Opstarten van de oven;20,0 Kg;53,0 Kg;Lijn 3;;
2011-10-24 07:10:08;Dag;Rode bak;Opstarten van de oven;78,0 Kg;111,0 Kg;Lijn 1;;
2011-10-24 07:34:40;Dag;Rode bak;Opstarten van de oven;35,0 Kg;68,0 Kg;Lijn 7;;
2011-10-24 07:35:36;Dag;Grijze bak;Wafelkwaliteit (kleur/gewicht);39,5 Kg;58,5 Kg;Lijn 3;wafels te licht;
2011-10-24 07:49:05;Dag;Rode bak;Opstarten van de oven;86,0 Kg;119,0 Kg;Lijn 4;;
2011-10-24 07:53:42;Dag;Grijze bak;Wafelkwaliteit (kleur/gewicht);34,5 Kg;53,5 Kg;Lijn 4;Te donker van kleur bij opstarten  !!!!!!!;
2011-10-24 08:13:31;Dag;Grijze bak;Storing zolder / stapelaar / buffer / u;54,0 Kg;73,0 Kg;Lijn 1;;
2011-10-24 09:16:25;Dag;Grijze bak;Opstarten van de oven;54,0 Kg;73,0 Kg;Lijn 3;folie van de tijd af;
2011-10-24 09:23:13;Dag;Grijze bak;Storing zolder / stapelaar / buffer / u;54,0 Kg;73,0 Kg;Lijn 4;;
2011-10-24 09:50:22;Dag;Grijze bak;Wafelkwaliteit (kleur/gewicht);68,0 Kg;87,0 Kg;Lijn 7;stapelaar;
2011-10-24 09:59:09;Dag;Grijze bak;Opstarten van de oven;32,0 Kg;51,0 Kg;Lijn 1;;
2011-10-24 12:13:29;Dag;Grijze bak;Storing van de pakmachine / folie;62,0 Kg;81,0 Kg;Lijn 7;en stapelaar;
2011-10-24 12:17:05;Dag;Grijze bak;Storing van de pakmachine / folie;55,0 Kg;74,0 Kg;Lijn 3;;
2011-10-24 14:48:26;Avond;Grijze bak;Storing zolder / stapelaar / buffer / u;56,0 Kg;75,0 Kg;Lijn 1;Stapelaar en omzetten van Belgie naar Aldi Zuid;
2011-10-24 14:51:07;Avond;Grijze bak;Storing van de pakmachine / folie;67,0 Kg;86,0 Kg;Lijn 7;stapelaar, packmachine en wafels lijn 6 packtech;
2011-10-24 14:55:40;Avond;Grijze bak;Storing zolder / stapelaar / buffer / u;41,0 Kg;60,0 Kg;Lijn 7;;
2011-10-24 16:04:18;Avond;Grijze bak;Storing van de pakmachine / folie;53,0 Kg;72,0 Kg;Lijn 1;;
2011-10-24 16:49:55;Avond;Grijze bak;Wafelkwaliteit (kleur/gewicht);59,0 Kg;78,0 Kg;Lijn 5;te droge wafels;
2011-10-24 19:13:21;Avond;Grijze bak;Opstarten van de oven;70,0 Kg;89,0 Kg;Lijn 3;pakjes uitpakken;
2011-10-24 19:13:57;Avond;Grijze bak;Storing zolder / stapelaar / buffer / u;69,0 Kg;88,0 Kg;Lijn 1;stapelaar;
2011-10-24 20:08:59;Avond;Grijze bak;Storing zolder / stapelaar / buffer / u;89,0 Kg;108,0 Kg;Lijn 4;Afval U baan;
2011-10-24 20:58:27;Avond;Rode bak;Opstarten van de oven;73,0 Kg;106,0 Kg;Lijn 6;;
2011-10-24 21:17:32;Avond;Rode bak;Overig of onbekend;154,0 Kg;187,0 Kg;Lijn 3;Algemene bak;
2011-10-24 22:29:37;Avond;Rode bak;Overig of onbekend;230,0 Kg;263,0 Kg;Lijn 3;Algemene bak//veegresten;
2011-10-24 22:30:15;Nacht;Grijze bak;Opstarten van de oven;19,0 Kg;38,0 Kg;Lijn 4;;
2011-10-24 22:34:54;Nacht;Grijze bak;Storing van de pakmachine / folie;54,5 Kg;73,5 Kg;Lijn 3;machine slipt, folierolhouder;
2011-10-24 22:39:29;Nacht;Grijze bak;Overig of onbekend;51,0 Kg;70,0 Kg;Lijn 3;algemeen;
2011-10-25 02:45:19;Nacht;Grijze bak;Storing van de pakmachine / folie;61,0 Kg;80,0 Kg;Lijn 7;rolwissel, klantwissel, stapelaar, scheuren etiketten, gewicht wafels;
2011-10-25 02:48:25;Nacht;Grijze bak;Storing van de pakmachine / folie;66,0 Kg;85,0 Kg;Lijn 7;rolwissel, klantwissel, stapelaar, scheuren etiketten, gewicht wafels;
2011-10-25 03:28:56;Nacht;Grijze bak;Storing van de pakmachine / folie;67,0 Kg;86,0 Kg;Lijn 6;;
2011-10-25 03:51:05;Nacht;Grijze bak;Overig of onbekend;46,0 Kg;65,0 Kg;Lijn 5;;
2011-10-25 04:04:15;Nacht;Grijze bak;Overig of onbekend;64,0 Kg;83,0 Kg;Lijn 5;niet bekend. Bak stond er al vanaf de avonddienst.;
2011-10-25 04:25:22;Nacht;Rode bak;Overig of onbekend;127,0 Kg;160,0 Kg;Lijn 1;verpakt afval;
2011-10-25 04:29:33;Nacht;Grijze bak;Storing zolder / stapelaar / buffer / u;35,0 Kg;54,0 Kg;Lijn 1;stapelaar;
2011-10-25 04:41:13;Nacht;Rode bak;Overig of onbekend;138,0 Kg;171,0 Kg;Lijn 7;veegresten en suiker;
2011-10-25 04:43:07;Nacht;Grijze bak;Wafelkwaliteit (kleur/gewicht);31,0 Kg;50,0 Kg;Lijn 6;het laatste van uit de oven + algemeen;
2011-10-25 06:56:52;Nacht;Rode bak;Opstarten van de oven;107,0 Kg;140,0 Kg;Lijn 5;;
